Time (sec),Thrust (N),Temperature (°C)
4.274,37.807552,382.23
4.275,37.807552,382.23
4.276,38.01839,382.23
4.277,38.01839,382.23
4.278,37.807552,382.23
4.279,37.807552,382.23
4.279,37.59672,382.23
4.28,37.175053,382.23
4.281,38.01839,382.23
4.282,37.807552,382.23
4.283,37.807552,382.23
4.284,38.440063,382.23
4.285,38.440063,382.23
4.286,38.01839,382.23
4.288,37.59672,382.23
4.289,38.01839,382.23
4.29,37.59672,382.23
4.291,37.807552,382.23
4.291,37.807552,382.23
4.292,37.59672,382.23
4.293,38.440063,382.23
4.294,38.01839,382.23
4.295,37.807552,382.23
4.296,38.01839,382.23
4.297,38.229225,382.23
4.298,38.229225,382.23
4.299,38.440063,382.23
4.3,37.59672,382.23
4.301,37.807552,382.23
4.301,37.59672,382.23
4.302,37.59672,382.23
4.303,37.59672,382.23
4.304,37.385883,382.23
4.305,37.59672,382.23
4.306,37.807552,382.23
4.307,38.01839,382.23
4.308,37.807552,382.23
4.309,37.59672,382.23
4.31,37.385883,382.23
4.311,37.385883,382.23
4.312,38.01839,382.23
4.312,37.807552,382.23
4.313,37.59672,382.23
4.314,37.59672,382.23
4.315,37.175053,382.23
4.316,37.385883,382.23
4.317,37.807552,382.23
4.318,38.229225,382.23
4.319,38.229225,382.23
4.32,38.01839,382.23
4.321,37.59672,382.23
4.322,38.01839,382.23
4.322,37.807552,382.23
-203.159,37.59672,382.23
4.324,38.01839,382.23
4.325,38.229225,382.23
4.326,38.01839,382.23
4.327,38.229225,382.23
4.328,37.59672,382.23
4.33,37.807552,382.23
4.331,37.807552,382.23
4.332,37.59672,382.23
4.333,37.59672,382.23
4.334,37.385883,382.23
4.334,37.175053,382.23
4.335,38.01839,382.23
4.336,38.440063,382.23
4.337,37.807552,382.23
4.338,37.807552,382.23
4.339,37.807552,382.23
4.34,37.59672,382.23
4.341,37.59672,382.23
4.342,37.59672,382.23
4.343,37.59672,382.23
4.344,38.01839,382.23
4.344,37.175053,382.23
4.345,37.807552,382.23
4.346,38.01839,382.23
4.347,37.175053,382.23
4.348,37.175053,382.23
4.349,37.175053,382.23
4.35,37.175053,382.23
4.351,37.59672,382.23
4.352,37.175053,382.23
4.353,37.175053,382.23
4.354,37.175053,382.23
4.355,36.964214,382.23
4.355,36.964214,382.23
-203.159,37.175053,382.23
4.357,37.385883,382.23
4.358,37.59672,382.23
4.359,37.175053,382.23
4.36,37.385883,382.23
4.361,36.964214,382.23
4.362,37.385883,382.23
4.363,37.175053,382.23
4.364,37.175053,382.23
4.365,36.964214,382.23
4.365,37.59672,382.23
4.366,37.59672,382.23
4.367,37.59672,382.23
4.368,37.59672,382.23
4.369,37.385883,382.23
4.37,37.175053,382.23
4.371,37.385883,382.23
4.373,37.175053,382.23
4.374,36.75338,382.23
4.375,36.75338,382.23
4.376,36.75338,382.23
4.377,37.385883,382.23
4.377,37.385883,382.23
4.378,37.175053,382.23
4.379,37.385883,382.23
4.38,36.75338,382.23
4.381,37.175053,382.23
4.382,37.175053,382.23
4.383,36.964214,382.23
4.384,37.175053,382.23
4.385,36.54254,382.23
4.386,36.964214,382.23
4.387,36.75338,382.23
4.387,36.964214,382.23
4.388,36.75338,382.23
4.389,36.54254,382.23
4.39,36.964214,382.23
4.391,36.75338,382.23
4.392,37.385883,382.23
4.393,37.175053,382.23
4.394,36.964214,382.23
4.395,36.54254,382.23
4.396,36.75338,382.23
4.397,36.33171,382.23
4.398,36.75338,382.23
4.398,36.75338,382.23
4.399,36.54254,382.23
4.4,36.75338,382.23
4.401,37.175053,382.23
4.402,36.75338,382.23
4.403,36.33171,382.23
4.404,36.54254,382.23
4.405,36.33171,382.23
4.406,36.964214,382.23
4.407,37.175053,382.23
4.408,36.75338,382.23
4.408,37.175053,382.23
-203.159,36.964214,382.23
4.41,37.175053,382.23
4.411,37.175053,382.23
4.412,37.385883,382.23
4.413,36.964214,382.23
4.414,36.964214,382.23
4.416,36.964214,382.23
4.417,36.75338,382.23
4.418,36.964214,382.23
4.419,36.75338,382.23
4.42,36.75338,382.23
4.42,36.54254,382.23
4.421,36.54254,382.23
4.422,36.964214,382.23
4.423,36.964214,382.23
4.424,36.75338,382.23
4.425,37.175053,382.23
4.426,36.54254,382.23
4.427,36.75338,382.23
4.428,37.385883,382.23
4.429,36.75338,382.23
4.43,36.964214,382.23
4.43,36.964214,382.23
4.431,36.75338,382.23
4.432,36.54254,382.23
4.433,37.175053,382.23
4.434,36.964214,382.23
4.435,37.175053,382.23
4.436,37.175053,382.23
4.437,36.75338,382.23
4.438,37.175053,382.23
4.439,36.964214,382.23
4.44,36.75338,382.23
4.441,36.54254,382.23
4.441,37.175053,382.23
4.442,36.54254,382.23
4.443,36.75338,382.23
4.444,37.385883,382.23
4.445,36.964214,382.23
4.446,36.33171,382.23
4.447,36.54254,382.23
4.448,36.120872,382.23
4.449,36.120872,382.23
4.45,36.120872,382.23
4.451,35.910038,382.23
4.451,35.910038,382.23
4.452,35.910038,382.23
4.453,35.699203,382.23
4.454,36.54254,382.23
4.455,36.120872,382.23
4.456,35.910038,382.23
4.458,35.699203,382.23
4.459,35.699203,382.23
4.46,36.33171,382.23
4.461,36.54254,382.23
4.462,36.54254,382.23
4.463,35.910038,382.23
4.463,35.910038,382.23
4.464,35.699203,382.23
4.465,35.699203,382.23
4.466,36.75338,382.23
4.467,36.120872,382.23
4.468,36.33171,382.23
4.469,36.120872,382.23
4.47,35.910038,382.23
4.471,36.120872,382.23
4.472,36.120872,382.23
4.473,35.910038,382.23
4.473,35.910038,382.23
4.474,35.910038,382.23
4.475,36.33171,382.23
4.476,36.120872,382.23
4.477,36.54254,382.23
4.478,36.33171,382.23
4.479,36.120872,382.23
4.48,36.33171,382.23
4.481,36.120872,382.23
4.482,35.699203,382.23
4.483,36.120872,382.23
4.484,36.75338,382.23
4.484,36.120872,382.23
4.485,35.910038,382.23
4.486,36.120872,382.23
4.487,36.33171,382.23
4.488,36.120872,382.23
4.489,35.910038,382.23
4.49,35.699203,382.23
4.491,35.48837,382.23
4.492,35.48837,382.23
4.493,35.699203,382.23
4.494,35.48837,382.23
4.494,35.699203,382.23
-203.159,35.48837,382.23
4.496,35.27753,382.23
4.497,35.699203,382.23
4.498,35.699203,382.23
4.499,36.120872,382.23
4.501,36.120872,382.23
4.502,35.910038,382.23
4.503,35.699203,382.23
4.504,35.48837,382.23
4.505,35.910038,382.23
4.506,35.48837,382.23
4.506,36.33171,382.23
4.507,36.33171,382.23
4.508,35.910038,382.23
4.509,35.699203,382.23
4.51,35.699203,382.23
4.511,35.48837,382.23
4.512,35.699203,382.23
4.513,35.0667,382.23
4.514,35.0667,382.23
4.515,35.699203,382.23
4.516,35.27753,382.23
